黄金9999,沪深300,标普500,中证国债指数
-0.045801764,0.026123991,0.019936394,0.021979599
0.021720389,0.116148911,0.021237469,0.016406991
0.021383326,0.232582785,-0.007197308,0.002484569
0.051045955,-0.025507569,-0.034532822,0.011788037
-0.033576103,0.042522311,0.050438871,0.011369181
-0.038640887,0.128652483,-0.020549145,-0.014240975
0.018424009,0.162106497,0.005484666,0.017087429
-0.009800715,0.021965369,0.007436785,-0.004562681
-0.011216337,-0.07602711,-0.024235662,0.004063154
-0.080032067,-0.155672964,0.016587718,0.010603027
0.074954072,-0.12250159,-0.067662741,0.007109944
-0.014001306,-0.046812687,-0.029798719,0.004712033
0.014685564,0.101381092,0.076719343,0.012437324
-0.070349624,0.01210732,-0.002495164,-5.33E-05
0.02195697,0.048117586,-0.020685672,0.015436012
0.059319866,-0.233198767,-0.055067641,0.003368725
0.090423737,-0.020568474,-0.0071369,0.003713733
-0.012282493,0.114877001,0.060904985,0.012733576
0.040693711,-0.016245961,-0.000304267,-0.004964548
-0.036011689,0.007051344,0.012208414,-0.001779766
0.091445543,-1.95E-03,-0.002089568,0.005808051
0.015264781,0.018731741,0.031990439,0.009726077
-0.009279178,0.040931441,-0.004219919,0.006873521
0.006195676,-0.019644367,-0.004235245,0.006152395
-0.021352872,0.028190559,-0.022616782,0.007028429
-0.040309751,0.061706064,0.030603472,-0.010636138
-0.01508086,-0.063589218,0.015037103,-0.012843954
0.008865474,0.026255605,0.022511194,-0.008668851
0.056868335,0.021960127,0.025738202,0.00213713
-0.014366625,0.003936479,-0.003389306,0.00016985
0.020098314,-0.001725205,0.006050141,-0.007211706
-0.015823959,0.01832809,0.008509718,-0.008822719
-0.021373753,0.051590773,0.001802283,0.007420435
0.007296639,0.022198204,0.016163962,-0.001353449
0.010162652,0.025281184,-0.002453657,-0.001712651
-0.001656583,0.006762837,0.016118957,0.003069681
-0.012731632,0.046411449,0.018945599,-0.007681417
0.001641348,0.002845747,0.024695515,0.001586052
-0.005078657,0.009160314,0.006783604,0.002221887
0.003838776,0.062015875,0.051657418,0.004401577
-0.013778118,-0.057806925,-0.042726116,0.009267499
0.000961432,-0.02859612,-0.030002627,0.007568195
-0.000961432,-0.034003333,0.007686469,0.014205901
-0.002815651,0.015038111,0.010156958,0.003336598
-0.008045935,-0.076729531,0.001830713,0.006480216
0.00473855,0.004898519,0.03238798,0.006873119
-0.00814775,-0.050471216,0.026814322,-0.004299942
-0.009085317,0.033817542,0.001285107,0.000809076
0.036221563,-0.083525817,-0.074929349,0.010509111
0.003099647,0.008964441,0.014701777,0.013106995
0.035587126,-0.04942281,-0.10772187,0.010627512
0.007351687,0.064503993,0.081198738,0.009249327
-0.002374634,0.139358993,0.026295593,-0.000491384
-0.017707069,0.056839249,0.014765542,0.005966607
-0.000427137,0.013499031,0.035560336,-0.014345717
0.034708214,-0.072183745,-0.071040889,0.008361615
0.07812573,0.0555374,0.06365832,0.004908537
0.017372002,0.005550862,0.010042767,0.00681065
0.10141764,-0.006370668,-0.021257308,0.009721292
-0.00311139,0.015744316,-0.003,-7.22E-05
